date,country,channel,campaign,impressions,clicks,sessions,conversions,cost,revenue
2025-01-02,UK,Organic,Email_Newsletter_Weekly,47395,8306,7879,121,0.0,12360.81
2025-01-02,DE,Paid Search,Shopping_Top_Products,20025,892,871,37,2174.39,5611.26
2025-01-02,DE,Paid Social,IG_Showcase_Video,23372,367,314,5,367.32,404.3
2025-01-02,DE,Paid Social,TikTok_UGC_Collab,37025,578,524,8,726.5,865.31
2025-01-02,DE,Paid Social,Social_Retargeting_DPA,29286,422,360,6,517.89,423.07
2025-01-02,DE,Organic,Referral_Program,15331,1763,1616,44,0.0,4800.05
2025-01-02,FR,Paid Search,Search_Retargeting,38442,1282,1238,65,3299.49,8659.51
2025-01-02,FR,Paid Search,Generic_Search_Q1,30946,1274,1136,66,2747.56,10601.2
2025-01-02,FR,Paid Social,TikTok_UGC_Collab,1834,27,23,0,30.63,0.0
2025-01-02,FR,Paid Social,Social_Retargeting_DPA,5649,81,71,1,90.57,95.72
2025-01-02,FR,Organic,SEO_Branded_Home,44534,6900,6580,166,0.0,14053.2
2025-01-02,AU,Paid Search,Generic_Search_Q1,12658,506,432,23,963.68,3386.67
2025-01-02,AU,Paid Social,FB_Prospecting_Q1,4804,76,67,1,64.99,75.79
2025-01-02,AU,Paid Social,TikTok_UGC_Collab,16856,271,237,6,326.62,474.65
2025-01-02,AU,Paid Social,Social_Retargeting_DPA,17390,256,243,5,239.9,579.86
2025-01-02,AU,Organic,Email_Newsletter_Weekly,34342,5542,4873,151,0.0,19216.52
2025-01-02,AU,Organic,Direct_Traffic,34200,6669,6443,211,0.0,17476.73
2025-01-02,AU,Organic,SEO_Branded_Home,15243,2291,2026,34,0.0,3231.56
2025-01-03,US,Paid Search,Generic_Search_Q1,39918,1447,1415,26,3866.74,3157.08
2025-01-03,US,Paid Social,IG_Showcase_Video,60232,914,891,17,1209.93,1418.86
2025-01-03,US,Paid Social,FB_Prospecting_Q1,59022,906,859,14,1165.0,1105.54
2025-01-03,US,Paid Social,Social_Retargeting_DPA,66184,1004,913,12,1189.5,1244.89
2025-01-03,US,Organic,Email_Newsletter_Weekly,21651,3096,2846,74,0.0,9860.66
2025-01-03,US,Organic,SEO_NonBranded_Blog,14554,2108,1801,52,0.0,2764.87
2025-01-03,UK,Paid Search,Competitor_Targeting,20946,846,767,34,1928.7,3852.49
2025-01-03,UK,Paid Search,Shopping_Top_Products,9415,336,307,14,766.93,1342.16
2025-01-03,UK,Paid Search,Brand_Exact_Match,49885,1995,1797,98,4864.78,14511.92
2025-01-03,UK,Paid Social,IG_Showcase_Video,47608,721,625,11,693.62,891.47
2025-01-03,UK,Organic,Email_Newsletter_Weekly,52135,7977,7083,200,0.0,11074.12
2025-01-03,DE,Paid Search,Brand_Exact_Match,32746,1351,1224,63,3412.29,8451.55
2025-01-03,DE,Paid Search,Competitor_Targeting,18481,841,758,23,2142.23,3188.95
2025-01-03,DE,Paid Social,Social_Retargeting_DPA,12930,173,161,2,174.42,186.52
2025-01-03,DE,Paid Social,LinkedIn_B2B_LeadGen,27932,384,334,3,396.36,190.87
2025-01-03,DE,Paid Social,FB_Prospecting_Q1,22185,288,265,5,355.12,522.28
2025-01-03,DE,Organic,SEO_Branded_Home,41210,6353,5479,161,0.0,18356.26
2025-01-03,DE,Organic,Email_Newsletter_Weekly,31286,4411,4262,74,0.0,7094.67
2025-01-03,FR,Paid Search,Competitor_Targeting,1967,83,71,2,201.8,261.25
2025-01-03,FR,Paid Search,Search_Retargeting,33552,1364,1175,70,3558.99,6888.3
2025-01-03,FR,Paid Search,Brand_Exact_Match,27776,1184,1095,56,2523.4,5450.06
2025-01-03,FR,Paid Social,TikTok_UGC_Collab,43444,601,543,9,676.54,396.54
2025-01-03,FR,Organic,Direct_Traffic,33237,4352,4003,107,0.0,14897.24
2025-01-03,FR,Organic,SEO_Branded_Home,42169,6854,6190,222,0.0,18078.88
2025-01-03,AU,Paid Search,Generic_Search_Q1,2459,110,99,5,281.45,619.68
2025-01-03,AU,Paid Search,Search_Retargeting,8962,328,298,17,871.8,1814.51
2025-01-03,AU,Paid Social,IG_Showcase_Video,30084,443,421,7,560.08,871.5
2025-01-03,AU,Organic,SEO_NonBranded_Blog,25469,3610,3185,76,0.0,6681.79
2025-01-03,AU,Organic,Email_Newsletter_Weekly,19583,2861,2472,90,0.0,11544.85
2025-01-03,AU,Organic,Referral_Program,25306,2857,2754,77,0.0,6331.38
2025-01-04,US,Paid Search,Brand_Exact_Match,2484,85,81,3,206.46,255.56
2025-01-04,US,Paid Social,FB_Prospecting_Q1,52914,708,690,14,982.51,1081.09
2025-01-04,US,Organic,Direct_Traffic,38643,6193,5892,165,0.0,15257.83
2025-01-04,US,Organic,Email_Newsletter_Weekly,22986,3644,3503,97,0.0,6851.47
2025-01-04,US,Organic,Referral_Program,9234,1189,1010,19,0.0,1463.9
2025-01-04,UK,Paid Search,Generic_Search_Q1,33748,1209,1082,46,2883.49,6249.87
2025-01-04,UK,Paid Search,Shopping_Top_Products,32805,1279,1243,50,3222.97,6314.93
2025-01-04,UK,Paid Social,Social_Retargeting_DPA,46717,546,531,9,496.45,907.35
2025-01-04,UK,Organic,Email_Newsletter_Weekly,56352,8700,7847,227,0.0,13201.29
2025-01-04,UK,Organic,Direct_Traffic,4012,715,643,16,0.0,1901.39
2025-01-04,DE,Paid Search,Brand_Exact_Match,26560,1018,982,60,2117.12,5776.42
2025-01-04,DE,Paid Social,TikTok_UGC_Collab,22548,344,326,7,328.65,670.68
2025-01-04,DE,Paid Social,Social_Retargeting_DPA,16562,198,171,3,211.05,281.71
2025-01-04,DE,Paid Social,IG_Showcase_Video,41071,663,573,12,721.39,781.52
2025-01-04,DE,Organic,SEO_NonBranded_Blog,34711,4235,3904,157,0.0,15818.55
2025-01-04,DE,Organic,Email_Newsletter_Weekly,39815,6784,6612,210,0.0,18717.58
2025-01-04,FR,Paid Search,Generic_Search_Q1,14877,628,596,35,1565.74,4725.8
2025-01-04,FR,Paid Search,Search_Retargeting,42708,1571,1376,99,2939.93,13983.5
2025-01-04,FR,Paid Social,IG_Showcase_Video,18189,332,284,5,331.35,394.91
2025-01-04,FR,Paid Social,Social_Retargeting_DPA,37261,489,420,9,574.66,720.51
2025-01-04,FR,Organic,SEO_Branded_Home,17720,2408,2266,68,0.0,5267.05
2025-01-04,FR,Organic,Referral_Program,25864,3888,3423,81,0.0,7076.72
2025-01-04,FR,Organic,SEO_NonBranded_Blog,26794,4184,3990,128,0.0,11231.15
2025-01-04,AU,Paid Search,Competitor_Targeting,17959,763,664,30,1777.58,3631.24
2025-01-04,AU,Paid Social,IG_Showcase_Video,15206,207,195,4,187.34,290.22
2025-01-04,AU,Paid Social,Social_Retargeting_DPA,6556,106,98,2,123.43,173.75
2025-01-04,AU,Paid Social,FB_Prospecting_Q1,25179,378,345,8,399.4,925.95
2025-01-04,AU,Organic,Direct_Traffic,33016,4827,4577,121,0.0,12920.26
2025-01-04,AU,Organic,SEO_NonBranded_Blog,28277,4016,3438,123,0.0,13176.55
2025-01-04,AU,Organic,Email_Newsletter_Weekly,3798,524,492,18,0.0,2287.26
2025-01-05,US,Paid Search,Brand_Exact_Match,41592,1586,1354,87,4394.8,7947.54
2025-01-05,US,Paid Search,Shopping_Top_Products,40135,1615,1463,57,4246.13,7891.46
2025-01-05,US,Paid Search,Competitor_Targeting,15690,487,442,22,1324.78,3026.11
2025-01-05,US,Paid Social,FB_Prospecting_Q1,67467,1014,867,11,1551.87,1048.33
2025-01-05,US,Paid Social,Social_Retargeting_DPA,22801,368,326,3,432.08,296.62
2025-01-05,US,Organic,Email_Newsletter_Weekly,22309,3870,3582,126,0.0,13581.01
2025-01-05,UK,Paid Search,Search_Retargeting,23149,954,933,47,1845.31,5021.23
2025-01-05,UK,Paid Search,Competitor_Targeting,50758,1905,1812,112,4401.04,14453.91
2025-01-05,UK,Paid Search,Shopping_Top_Products,53330,2017,1956,88,4505.14,11126.58
2025-01-05,UK,Paid Social,Social_Retargeting_DPA,3951,49,47,0,56.63,0.0
2025-01-05,UK,Paid Social,FB_Prospecting_Q1,38940,561,483,8,571.3,800.82
2025-01-05,UK,Paid Social,IG_Showcase_Video,21177,317,304,6,335.68,625.23
2025-01-05,UK,Organic,SEO_NonBranded_Blog,4224,580,501,20,0.0,1511.88
2025-01-05,UK,Organic,Direct_Traffic,21324,3678,3480,102,0.0,11388.58
2025-01-05,DE,Paid Search,Brand_Exact_Match,49307,2172,2115,85,4895.88,7314.47
2025-01-05,DE,Paid Social,FB_Prospecting_Q1,14208,197,190,3,213.4,340.41
2025-01-05,DE,Organic,Referral_Program,8413,1340,1143,39,0.0,4055.62
2025-01-05,DE,Organic,Direct_Traffic,17574,2565,2479,82,0.0,8501.65
2025-01-05,FR,Paid Search,Competitor_Targeting,4326,169,144,8,288.16,1149.45
2025-01-05,FR,Paid Search,Search_Retargeting,27222,1008,983,47,2282.3,6272.91
2025-01-05,FR,Paid Search,Generic_Search_Q1,4393,161,142,8,342.73,975.62
2025-01-05,FR,Paid Social,LinkedIn_B2B_LeadGen,43190,636,568,10,601.4,526.03
2025-01-05,FR,Paid Social,TikTok_UGC_Collab,14193,197,189,3,185.1,333.83
2025-01-05,FR,Paid Social,IG_Showcase_Video,28852,412,400,7,461.32,402.76
2025-01-05,FR,Organic,SEO_Branded_Home,21882,3359,2994,89,0.0,8733.65
2025-01-05,FR,Organic,Direct_Traffic,26757,3224,2836,94,0.0,11445.16
2025-01-05,FR,Organic,Email_Newsletter_Weekly,6799,1269,1130,27,0.0,1867.71
2025-01-05,AU,Paid Search,Brand_Exact_Match,12023,482,450,26,1147.52,2891.54
2025-01-05,AU,Paid Search,Shopping_Top_Products,17110,703,650,35,1466.2,3445.92
2025-01-05,AU,Paid Search,Generic_Search_Q1,10704,430,375,9,1033.27,1186.03
2025-01-05,AU,Paid Social,LinkedIn_B2B_LeadGen,12182,220,198,3,197.26,211.59
2025-01-05,AU,Paid Social,Social_Retargeting_DPA,28573,384,344,8,445.6,741.01
2025-01-05,AU,Paid Social,IG_Showcase_Video,5096,85,82,1,101.16,77.93
2025-01-05,AU,Organic,Email_Newsletter_Weekly,6225,781,705,22,0.0,2654.35
2025-01-05,AU,Organic,Referral_Program,13223,2113,1806,54,0.0,5209.74
2025-01-06,US,Paid Search,Generic_Search_Q1,11149,480,435,22,1270.19,2904.38
2025-01-06,US,Paid Search,Brand_Exact_Match,31767,1301,1158,61,3141.47,6352.56
2025-01-06,US,Paid Social,LinkedIn_B2B_LeadGen,56392,711,673,13,939.71,1530.76
2025-01-06,US,Paid Social,TikTok_UGC_Collab,17469,256,243,4,411.5,319.53
2025-01-06,US,Organic,Referral_Program,8620,1278,1169,36,0.0,3459.94
2025-01-06,US,Organic,Direct_Traffic,73912,13185,11758,480,0.0,63472.36
2025-01-06,UK,Paid Search,Generic_Search_Q1,30992,1035,933,59,2682.83,6801.38
2025-01-06,UK,Paid Search,Shopping_Top_Products,5580,217,196,11,486.55,1121.28
2025-01-06,UK,Paid Social,FB_Prospecting_Q1,36271,483,459,11,500.25,1022.5
2025-01-06,UK,Paid Social,LinkedIn_B2B_LeadGen,27692,487,416,8,532.45,583.34
2025-01-06,UK,Paid Social,Social_Retargeting_DPA,8995,102,94,1,121.63,107.02
2025-01-06,UK,Organic,Direct_Traffic,16237,2479,2359,96,0.0,6323.15
2025-01-06,UK,Organic,Email_Newsletter_Weekly,25033,4165,3618,133,0.0,13961.08
2025-01-06,UK,Organic,SEO_NonBranded_Blog,16286,2089,1890,54,0.0,6385.54
2025-01-06,DE,Paid Search,Search_Retargeting,35903,1358,1259,72,3326.97,9164.55
2025-01-06,DE,Paid Search,Brand_Exact_Match,21938,860,764,28,2073.77,3002.12
2025-01-06,DE,Paid Social,TikTok_UGC_Collab,11896,183,159,3,185.9,285.19
2025-01-06,DE,Paid Social,IG_Showcase_Video,35956,608,544,9,639.81,827.91
2025-01-06,DE,Paid Social,Social_Retargeting_DPA,3211,44,38,0,43.68,0.0
2025-01-06,DE,Organic,Direct_Traffic,39821,5995,5795,169,0.0,20847.77
2025-01-06,FR,Paid Search,Shopping_Top_Products,8494,294,254,11,678.81,1157.91
2025-01-06,FR,Paid Search,Competitor_Targeting,42907,1648,1568,73,3152.43,8178.55
2025-01-06,FR,Paid Social,TikTok_UGC_Collab,15513,186,169,3,190.0,164.81
2025-01-06,FR,Organic,SEO_NonBranded_Blog,18693,2733,2509,89,0.0,7143.94
2025-01-06,FR,Organic,SEO_Branded_Home,7245,1049,947,32,0.0,3554.34
2025-01-06,AU,Paid Search,Brand_Exact_Match,7573,325,307,18,833.43,2353.17
2025-01-06,AU,Paid Social,IG_Showcase_Video,30757,502,470,6,636.52,356.66
2025-01-06,AU,Organic,SEO_NonBranded_Blog,30832,5191,4615,155,0.0,16652.12
2025-01-06,AU,Organic,Referral_Program,32696,5097,4893,153,0.0,17969.25
2025-01-07,US,Paid Search,Shopping_Top_Products,23523,931,835,40,2267.38,4983.78
2025-01-07,US,Paid Search,Generic_Search_Q1,34588,1358,1278,72,3668.9,7244.16
2025-01-07,US,Paid Search,Competitor_Targeting,19978,715,666,41,2083.77,5707.93
2025-01-07,US,Paid Social,LinkedIn_B2B_LeadGen,64614,944,830,15,1198.45,791.99
2025-01-07,US,Paid Social,IG_Showcase_Video,18142,263,250,6,378.83,383.41
2025-01-07,US,Organic,SEO_NonBranded_Blog,68872,11350,10278,266,0.0,23234.66
2025-01-07,UK,Paid Search,Search_Retargeting,7698,318,301,16,763.41,2077.0
2025-01-07,UK,Paid Search,Generic_Search_Q1,51808,2369,2197,121,5369.39,14943.05
2025-01-07,UK,Paid Social,FB_Prospecting_Q1,3747,49,44,1,44.55,88.42
2025-01-07,UK,Organic,Direct_Traffic,46849,6808,5956,189,0.0,16174.28
2025-01-07,DE,Paid Search,Search_Retargeting,31272,1507,1359,75,3347.81,7916.31
2025-01-07,DE,Paid Search,Brand_Exact_Match,47379,1760,1638,102,4018.47,12703.56
2025-01-07,DE,Paid Social,Social_Retargeting_DPA,47512,764,742,13,689.45,1147.01
2025-01-07,DE,Paid Social,IG_Showcase_Video,49549,760,662,18,857.77,1843.37
2025-01-07,DE,Paid Social,FB_Prospecting_Q1,30882,364,331,8,336.0,741.14
2025-01-07,DE,Organic,Direct_Traffic,25112,3767,3313,100,0.0,8453.95
2025-01-07,DE,Organic,Referral_Program,6713,923,790,16,0.0,1123.55
2025-01-07,FR,Paid Search,Shopping_Top_Products,18039,679,649,28,1578.7,2223.98
2025-01-07,FR,Paid Social,LinkedIn_B2B_LeadGen,32336,407,361,7,431.31,678.77
2025-01-07,FR,Paid Social,IG_Showcase_Video,30359,475,415,11,522.16,831.37
2025-01-07,FR,Paid Social,FB_Prospecting_Q1,14536,226,217,3,217.86,297.04
2025-01-07,FR,Organic,SEO_Branded_Home,28593,4281,4151,129,0.0,14187.64
2025-01-07,AU,Paid Search,Generic_Search_Q1,11165,482,417,31,1001.04,3699.41
2025-01-07,AU,Paid Search,Brand_Exact_Match,13216,423,387,11,979.15,1349.03
2025-01-07,AU,Paid Search,Shopping_Top_Products,5786,243,213,11,520.18,1080.04
2025-01-07,AU,Paid Social,IG_Showcase_Video,27438,466,409,7,507.91,631.45
2025-01-07,AU,Organic,Referral_Program,18511,2532,2244,90,0.0,9942.36
2025-01-07,AU,Organic,Email_Newsletter_Weekly,25237,3729,3469,105,0.0,16014.29
2025-01-08,US,Paid Search,Search_Retargeting,74868,3435,3114,134,8467.67,13516.17
2025-01-08,US,Paid Search,Brand_Exact_Match,50241,1962,1741,95,5801.2,9593.44
2025-01-08,US,Paid Search,Generic_Search_Q1,19050,683,642,32,1566.56,3422.64
2025-01-08,US,Paid Social,Social_Retargeting_DPA,13075,169,156,3,167.67,245.82
2025-01-08,US,Paid Social,IG_Showcase_Video,22240,317,308,7,416.91,687.83
2025-01-08,US,Paid Social,TikTok_UGC_Collab,59568,836,719,11,1011.55,1028.74
2025-01-08,US,Organic,SEO_NonBranded_Blog,19684,2756,2471,73,0.0,4975.72
2025-01-08,UK,Paid Search,Brand_Exact_Match,24619,1044,937,46,1906.98,6270.69
2025-01-08,UK,Paid Search,Shopping_Top_Products,1581,52,45,1,117.61,99.39
2025-01-08,UK,Paid Search,Search_Retargeting,9650,391,344,18,994.5,1770.53
2025-01-08,UK,Paid Social,FB_Prospecting_Q1,3060,43,37,0,48.19,0.0
2025-01-08,UK,Paid Social,IG_Showcase_Video,54214,822,783,18,896.22,2016.82
2025-01-08,UK,Paid Social,Social_Retargeting_DPA,36516,642,559,17,516.7,1389.73
2025-01-08,UK,Organic,Email_Newsletter_Weekly,12204,1727,1581,43,0.0,2865.32
2025-01-08,UK,Organic,Referral_Program,13698,2199,1877,56,0.0,5769.72
2025-01-08,UK,Organic,SEO_Branded_Home,52441,7322,6702,218,0.0,21512.33
2025-01-08,DE,Paid Search,Brand_Exact_Match,18038,674,656,39,1226.18,4141.62
2025-01-08,DE,Paid Social,IG_Showcase_Video,26386,410,391,10,402.5,665.41
2025-01-08,DE,Organic,SEO_NonBranded_Blog,4473,665,649,16,0.0,1537.02
2025-01-08,DE,Organic,Email_Newsletter_Weekly,6250,1144,1052,29,0.0,3237.58
2025-01-08,FR,Paid Search,Competitor_Targeting,19630,666,583,30,1107.89,3764.51
2025-01-08,FR,Paid Search,Brand_Exact_Match,1618,60,58,3,114.82,401.7
2025-01-08,FR,Paid Search,Search_Retargeting,41520,1623,1392,46,3649.34,5492.31
2025-01-08,FR,Paid Social,TikTok_UGC_Collab,9119,153,140,2,158.38,152.43
2025-01-08,FR,Organic,Direct_Traffic,26953,4054,3581,103,0.0,10398.05
2025-01-08,AU,Paid Search,Brand_Exact_Match,16477,628,576,38,1306.2,3785.54
2025-01-08,AU,Paid Search,Shopping_Top_Products,19544,799,699,33,1924.37,3642.65
2025-01-08,AU,Paid Search,Search_Retargeting,32529,1030,930,53,2672.59,6813.85
2025-01-08,AU,Paid Social,FB_Prospecting_Q1,6806,91,81,1,101.83,86.64
2025-01-08,AU,Paid Social,IG_Showcase_Video,13979,240,213,5,255.46,477.59
2025-01-08,AU,Paid Social,LinkedIn_B2B_LeadGen,26335,462,414,9,432.62,747.14
2025-01-08,AU,Organic,SEO_Branded_Home,20957,3031,2756,79,0.0,10199.21
2025-01-08,AU,Organic,SEO_NonBranded_Blog,16400,1904,1822,61,0.0,4160.56
2025-01-08,AU,Organic,Referral_Program,28215,4611,4323,67,0.0,5370.89
2025-01-09,US,Paid Search,Brand_Exact_Match,54949,2194,2009,95,7089.72,12254.54
2025-01-09,US,Paid Social,IG_Showcase_Video,63018,800,739,9,948.92,693.72
2025-01-09,US,Paid Social,LinkedIn_B2B_LeadGen,48342,729,707,16,984.5,1533.21
2025-01-09,US,Organic,SEO_Branded_Home,56653,8390,7891,142,0.0,12660.39
2025-01-09,UK,Paid Search,Search_Retargeting,43668,1657,1503,82,3928.92,9755.0
2025-01-09,UK,Paid Search,Generic_Search_Q1,38392,1565,1462,87,3368.93,8744.79
2025-01-09,UK,Paid Social,IG_Showcase_Video,53350,889,814,18,949.51,1812.23
2025-01-09,UK,Paid Social,FB_Prospecting_Q1,56656,907,856,18,1053.92,1874.74
2025-01-09,UK,Paid Social,TikTok_UGC_Collab,8726,133,116,3,119.57,339.5
2025-01-09,UK,Organic,SEO_NonBranded_Blog,42273,5987,5233,149,0.0,11169.17
2025-01-09,UK,Organic,Email_Newsletter_Weekly,16932,2531,2296,59,0.0,3452.68
2025-01-09,DE,Paid Search,Competitor_Targeting,49423,1853,1607,65,3807.89,6291.3
2025-01-09,DE,Paid Search,Brand_Exact_Match,39654,1397,1230,84,2999.27,11270.12
2025-01-09,DE,Paid Social,IG_Showcase_Video,23927,339,304,5,408.88,396.18
2025-01-09,DE,Paid Social,Social_Retargeting_DPA,6717,96,93,2,111.4,102.59
2025-01-09,DE,Organic,Direct_Traffic,10162,1927,1654,49,0.0,5096.01
2025-01-09,DE,Organic,SEO_Branded_Home,16783,2389,2229,59,0.0,5446.03
2025-01-09,DE,Organic,SEO_NonBranded_Blog,19823,3224,3007,101,0.0,5886.69
2025-01-09,FR,Paid Search,Competitor_Targeting,41370,1471,1424,92,3456.38,10605.76
2025-01-09,FR,Paid Search,Brand_Exact_Match,12803,538,468,26,891.69,1872.54
2025-01-09,FR,Paid Social,LinkedIn_B2B_LeadGen,22778,346,329,8,379.53,819.99
2025-01-09,FR,Organic,Referral_Program,16637,2992,2847,70,0.0,6109.47
2025-01-09,FR,Organic,Email_Newsletter_Weekly,24372,3759,3513,105,0.0,13317.23
2025-01-09,AU,Paid Search,Search_Retargeting,15700,603,513,27,1429.14,3255.41
2025-01-09,AU,Paid Search,Shopping_Top_Products,34534,1408,1220,68,3180.69,4730.96
2025-01-09,AU,Paid Search,Generic_Search_Q1,17270,667,593,30,1219.58,3543.7
2025-01-09,AU,Paid Social,FB_Prospecting_Q1,26835,325,310,7,379.08,672.44
2025-01-09,AU,Organic,Referral_Program,26408,4363,4038,131,0.0,10659.71
2025-01-10,US,Paid Search,Shopping_Top_Products,42316,1485,1358,76,3961.58,9967.92
2025-01-10,US,Paid Social,IG_Showcase_Video,22186,335,324,6,453.5,523.83
2025-01-10,US,Paid Social,FB_Prospecting_Q1,17401,284,265,8,349.84,875.85
2025-01-10,US,Paid Social,LinkedIn_B2B_LeadGen,62490,889,852,26,1248.46,1402.24
2025-01-10,US,Organic,Direct_Traffic,27586,4304,3947,120,0.0,8389.02
2025-01-10,UK,Paid Search,Generic_Search_Q1,30156,1302,1208,62,2925.0,6942.62
2025-01-10,UK,Paid Search,Shopping_Top_Products,50850,2490,2305,147,5865.01,14552.99
2025-01-10,UK,Paid Social,LinkedIn_B2B_LeadGen,44073,519,446,9,504.79,638.14
2025-01-10,UK,Organic,Email_Newsletter_Weekly,45306,7617,7142,231,0.0,23980.22
2025-01-10,UK,Organic,SEO_Branded_Home,51276,8206,7009,220,0.0,21971.68
2025-01-10,UK,Organic,Referral_Program,49249,6932,6523,210,0.0,23469.75
2025-01-10,DE,Paid Search,Shopping_Top_Products,21639,773,694,37,1681.55,4157.28
2025-01-10,DE,Paid Search,Search_Retargeting,39790,1433,1392,79,3445.58,9169.65
2025-01-10,DE,Paid Social,Social_Retargeting_DPA,41747,591,518,11,600.4,1134.89
2025-01-10,DE,Paid Social,IG_Showcase_Video,1311,20,18,0,21.66,0.0
2025-01-10,DE,Organic,SEO_NonBranded_Blog,34151,5821,5263,148,0.0,18574.11
2025-01-10,DE,Organic,Email_Newsletter_Weekly,33503,5623,5426,152,0.0,18249.79
2025-01-10,DE,Organic,SEO_Branded_Home,37951,5284,4739,150,0.0,19387.44
2025-01-10,FR,Paid Search,Competitor_Targeting,9025,368,313,12,883.27,1422.99
2025-01-10,FR,Paid Search,Shopping_Top_Products,21566,1018,992,48,1970.62,6020.85
2025-01-10,FR,Paid Search,Search_Retargeting,17659,867,837,32,2006.69,4086.25
2025-01-10,FR,Paid Social,TikTok_UGC_Collab,17827,326,288,6,324.22,656.43
2025-01-10,FR,Paid Social,Social_Retargeting_DPA,26286,477,418,11,575.75,791.72
2025-01-10,FR,Organic,Email_Newsletter_Weekly,22453,3351,2982,115,0.0,10943.63
2025-01-10,AU,Paid Search,Shopping_Top_Products,31396,1458,1374,70,3146.74,10745.65
2025-01-10,AU,Paid Search,Competitor_Targeting,8250,279,239,15,627.15,1776.45
2025-01-10,AU,Paid Search,Search_Retargeting,13828,539,480,16,1248.78,1939.19
2025-01-10,AU,Paid Social,FB_Prospecting_Q1,33051,501,428,10,571.61,1010.2
2025-01-10,AU,Organic,SEO_Branded_Home,10682,1554,1334,32,0.0,2573.5
2025-01-10,AU,Organic,Direct_Traffic,28592,5489,4880,125,0.0,9929.09
2025-01-11,US,Paid Search,Competitor_Targeting,43497,1662,1430,77,4727.06,10350.11
2025-01-11,US,Paid Social,FB_Prospecting_Q1,62479,845,812,14,1072.54,947.03
2025-01-11,US,Organic,SEO_Branded_Home,56506,8782,7922,186,0.0,19684.61
2025-01-11,US,Organic,Direct_Traffic,54054,8828,7962,264,0.0,19149.87
2025-01-11,US,Organic,Referral_Program,37444,5874,5291,174,0.0,16116.79
